epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2417.18,1.30487,1.60715,1.58406,0.81089,0.78286,0.85881,0.54095,1.26135,0.92021,1.52989,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2492.33,1.30132,1.58676,1.58316,0.82741,0.78206,0.86743,0.54487,1.26563,0.90606,1.545,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2567.35,1.2967,1.57048,1.57612,0.83553,0.80059,0.87929,0.56159,1.22793,0.87264,1.50433,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2642.29,1.29479,1.547,1.57666,0.83037,0.80316,0.87559,0.55838,1.22794,0.86841,1.49869,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2717.19,1.29545,1.5302,1.56984,0.84028,0.80516,0.88359,0.56423,1.23127,0.8403,1.50181,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2792.26,1.2764,1.49657,1.5609,0.85549,0.8151,0.89516,0.57641,1.21823,0.8271,1.4909,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2867,1.27731,1.49728,1.55981,0.86269,0.81633,0.90011,0.58025,1.21259,0.79873,1.48333,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2941.93,1.27741,1.49281,1.56178,0.85708,0.81954,0.89696,0.58148,1.20148,0.80491,1.47467,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3016.78,1.27315,1.4771,1.55551,0.86943,0.82073,0.90364,0.59118,1.18383,0.78,1.46468,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3091.63,1.27327,1.46909,1.55607,0.86875,0.82748,0.90373,0.58802,1.19376,0.77771,1.46584,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3166.4,1.27162,1.45457,1.54826,0.87733,0.83685,0.91646,0.59652,1.19647,0.74468,1.45955,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3241.23,1.26466,1.43744,1.54804,0.88483,0.84738,0.92152,0.60417,1.18041,0.73062,1.4596,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3316.04,1.25695,1.43041,1.54427,0.87821,0.84753,0.91765,0.60177,1.17656,0.73552,1.45261,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3390.75,1.25441,1.4022,1.53756,0.88452,0.85341,0.92454,0.61221,1.16003,0.71539,1.44349,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
